OFNS_DESC,CMPLNT_NUM,CMPLNT_FR_DT
DANGEROUS WEAPONS,581,04/01/2019 12:00:00 AM
DANGEROUS WEAPONS,650,05/01/2019 12:00:00 AM
DANGEROUS WEAPONS,450,06/01/2019 12:00:00 AM
DANGEROUS WEAPONS,525,07/01/2019 12:00:00 AM
DANGEROUS WEAPONS,501,08/01/2019 12:00:00 AM
DANGEROUS WEAPONS,434,09/01/2019 12:00:00 AM
DANGEROUS WEAPONS,432,10/01/2019 12:00:00 AM
DANGEROUS WEAPONS,419,11/01/2019 12:00:00 AM
DANGEROUS WEAPONS,319,12/01/2019 12:00:00 AM
DISORDERLY CONDUCT,1,01/01/2018 12:00:00 AM
DISORDERLY CONDUCT,6,02/01/2018 12:00:00 AM
DISORDERLY CONDUCT,4,03/01/2018 12:00:00 AM
DISORDERLY CONDUCT,6,04/01/2018 12:00:00 AM
DISORDERLY CONDUCT,4,05/01/2018 12:00:00 AM
DISORDERLY CONDUCT,3,06/01/2018 12:00:00 AM
DISORDERLY CONDUCT,5,07/01/2018 12:00:00 AM
DISORDERLY CONDUCT,2,08/01/2018 12:00:00 AM
DISORDERLY CONDUCT,1,09/01/2018 12:00:00 AM
DISORDERLY CONDUCT,4,10/01/2018 12:00:00 AM
DISORDERLY CONDUCT,4,11/01/2018 12:00:00 AM
DISORDERLY CONDUCT,5,12/01/2018 12:00:00 AM
DISORDERLY CONDUCT,3,01/01/2019 12:00:00 AM
DISORDERLY CONDUCT,3,02/01/2019 12:00:00 AM
DISORDERLY CONDUCT,5,03/01/2019 12:00:00 AM
DISORDERLY CONDUCT,2,04/01/2019 12:00:00 AM
DISORDERLY CONDUCT,3,05/01/2019 12:00:00 AM
DISORDERLY CONDUCT,2,06/01/2019 12:00:00 AM
DISORDERLY CONDUCT,2,07/01/2019 12:00:00 AM
DISORDERLY CONDUCT,4,08/01/2019 12:00:00 AM
DISORDERLY CONDUCT,4,09/01/2019 12:00:00 AM
DISORDERLY CONDUCT,1,11/01/2019 12:00:00 AM
DISRUPTION OF A RELIGIOUS SERV,1,09/01/2018 12:00:00 AM
DISRUPTION OF A RELIGIOUS SERV,1,09/01/2019 12:00:00 AM
DISRUPTION OF A RELIGIOUS SERV,2,11/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,2,02/01/2018 12:00:00 AM
ENDAN WELFARE INCOMP,2,03/01/2018 12:00:00 AM
ENDAN WELFARE INCOMP,3,05/01/2018 12:00:00 AM
ENDAN WELFARE INCOMP,7,06/01/2018 12:00:00 AM
ENDAN WELFARE INCOMP,2,07/01/2018 12:00:00 AM
ENDAN WELFARE INCOMP,4,08/01/2018 12:00:00 AM
ENDAN WELFARE INCOMP,2,10/01/2018 12:00:00 AM
ENDAN WELFARE INCOMP,1,12/01/2018 12:00:00 AM
ENDAN WELFARE INCOMP,1,01/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,2,02/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,1,03/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,3,04/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,1,05/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,1,06/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,5,07/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,2,08/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,2,09/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,4,10/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,4,11/01/2019 12:00:00 AM
ENDAN WELFARE INCOMP,2,12/01/2019 12:00:00 AM
ESCAPE 3,1,02/01/2018 12:00:00 AM
ESCAPE 3,1,03/01/2018 12:00:00 AM
ESCAPE 3,1,07/01/2018 12:00:00 AM
ESCAPE 3,2,08/01/2018 12:00:00 AM
ESCAPE 3,3,10/01/2018 12:00:00 AM
ESCAPE 3,1,02/01/2019 12:00:00 AM
ESCAPE 3,1,03/01/2019 12:00:00 AM
ESCAPE 3,2,04/01/2019 12:00:00 AM
ESCAPE 3,1,05/01/2019 12:00:00 AM
ESCAPE 3,2,06/01/2019 12:00:00 AM
ESCAPE 3,1,08/01/2019 12:00:00 AM
ESCAPE 3,1,12/01/2019 12:00:00 AM
FELONY ASSAULT,1572,01/01/2018 12:00:00 AM
FELONY ASSAULT,1391,02/01/2018 12:00:00 AM
FELONY ASSAULT,1606,03/01/2018 12:00:00 AM
FELONY ASSAULT,1628,04/01/2018 12:00:00 AM
FELONY ASSAULT,1923,05/01/2018 12:00:00 AM
FELONY ASSAULT,1888,06/01/2018 12:00:00 AM
FELONY ASSAULT,1896,07/01/2018 12:00:00 AM
FELONY ASSAULT,1896,08/01/2018 12:00:00 AM
FELONY ASSAULT,1746,09/01/2018 12:00:00 AM
FELONY ASSAULT,1666,10/01/2018 12:00:00 AM
FELONY ASSAULT,1545,11/01/2018 12:00:00 AM
FELONY ASSAULT,1729,12/01/2018 12:00:00 AM
FELONY ASSAULT,1460,01/01/2019 12:00:00 AM
FELONY ASSAULT,1292,02/01/2019 12:00:00 AM
FELONY ASSAULT,1678,03/01/2019 12:00:00 AM
FELONY ASSAULT,1634,04/01/2019 12:00:00 AM
FELONY ASSAULT,1935,05/01/2019 12:00:00 AM
FELONY ASSAULT,1956,06/01/2019 12:00:00 AM
FELONY ASSAULT,2067,07/01/2019 12:00:00 AM
FELONY ASSAULT,1946,08/01/2019 12:00:00 AM
FELONY ASSAULT,1821,09/01/2019 12:00:00 AM
FELONY ASSAULT,1690,10/01/2019 12:00:00 AM
FELONY ASSAULT,1644,11/01/2019 12:00:00 AM
FELONY ASSAULT,1482,12/01/2019 12:00:00 AM
FELONY SEX CRIMES,1,03/01/2019 12:00:00 AM
FELONY SEX CRIMES,1,05/01/2019 12:00:00 AM
FELONY SEX CRIMES,2,06/01/2019 12:00:00 AM
FELONY SEX CRIMES,2,09/01/2019 12:00:00 AM
FELONY SEX CRIMES,1,10/01/2019 12:00:00 AM
FELONY SEX CRIMES,2,11/01/2019 12:00:00 AM
FELONY SEX CRIMES,1,12/01/2019 12:00:00 AM
FORGERY,481,01/01/2018 12:00:00 AM
FORGERY,466,02/01/2018 12:00:00 AM
FORGERY,515,03/01/2018 12:00:00 AM
FORGERY,414,04/01/2018 12:00:00 AM
FORGERY,407,05/01/2018 12:00:00 AM
FORGERY,406,06/01/2018 12:00:00 AM
FORGERY,471,07/01/2018 12:00:00 AM
FORGERY,416,08/01/2018 12:00:00 AM
FORGERY,396,09/01/2018 12:00:00 AM
FORGERY,433,10/01/2018 12:00:00 AM
FORGERY,460,11/01/2018 12:00:00 AM
